invoice_id,brand,city,customer_type,gender,product_line,unit_price,quantity,tax,date,time,payment,cost,profit,rating
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,3/13/2019,19:44,Credit card,320.53,16.0265,7
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,3/8/2019,10:29,Cash,76.4,3.82,9.6
105-10-6182,A,Yangon,Member,Male,Fashion accessories,21.48,2,2.148,2/27/2019,12:22,Ewallet,42.96,2.148,6.6
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,2/1/2019,15:10,Credit card,486.64,24.332,8.5
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,3/27/2019,11:26,Cash,88.68,4.434,5.8
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,3/25/2019,18:30,Ewallet,597.73,29.8865,4.1
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,1/27/2019,20:33,Ewallet,465.76,23.288,8.4
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,2/24/2019,11:38,Ewallet,735.6,36.78,8
124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,1/8/2019,14:30,Cash,238.77,11.9385,6.6
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,2/20/2019,13:27,Credit card,164.52,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,2/6/2019,18:07,Ewallet,57.92,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,3/9/2019,17:03,Cash,102.04,5.102,6.8
125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,1/19/2019,13:11,Cash,594.6,29.73,4.2
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,1/7/2019,11:44,Credit card,193.86,9.693,8.8
127-47-6963,A,Yangon,Normal,Male,Health and beauty,51.71,4,10.342,3/9/2019,13:53,Credit card,206.84,10.342,9.8
